學院,開課系所,流水號,課號,課程名稱,英文課名,授課教師,學分,時間/教室,選別,全/半,人數限制,分發條件
"中心、處室","體育室","01021","PE1011-U","大一體育","Freshman PE I","邱文聲","0","Wed78/YH-YH-1","必修","半","無","1021
PE1011	大一體育
Freshman PE I

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。"
"中心、處室","體育室","01022","PE1011-V","大一體育","Freshman PE I","吳治翰","0","Wed78/YH-YH-1","必修","半","無","1022
PE1011	大一體育
Freshman PE I

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。"
"中心、處室","學務處-服務學習發展中心","08015","SC0003-P","服務學習課程","Student Service-Learning","龔存雄","0","Thu78/E1-124","必修","半","無","8015
SC0003	服務學習課程
Student Service-Learning

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。
2	系所:限電機工程學系。"
"中心、處室","學務處-服務學習發展中心","08016","SC0003-Q","服務學習課程","Student Service-Learning","歐陽良昱","0","Thu78/E1-124","必修","半","無","8016
SC0003	服務學習課程
Student Service-Learning

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。
2	系所:限電機工程學系。"
"中心、處室","語言中心","00050","LN1001-E","大一英文:工程課群","Freshman English as an Introduction to Engineering","劉愛萍","3","Wed5/TR-A205 Fri34/E1-136","必修","全","50","50
LN1001	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。"
"中心、處室","語言中心","00055","LN1001-J","大一英文:工程課群","Freshman English as an Introduction to Engineering","任秀英","3","Wed5/TR-A201 Fri34/E1-135","必修","全","50","55
LN1001	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。"
"中心、處室","語言中心","00056","LN1001-K","大一英文:工程課群","Freshman English as an Introduction to Engineering","陳雯玲","3","Wed5/TR-A202 Fri34/E1-137","必修","全","50","56
LN1001	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。"
"中心、處室","語言中心","00060","LN1001-O","大一英文:工程課群","Freshman English as an Introduction to Engineering","朱琼芝","3","Wed59/E1-134 Fri34/E1-134","必修","全","50","60
LN1001	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。"
"中心、處室","語言中心","00061","LN1001-P","大一英文:工程課群","Freshman English as an Introduction to Engineering","秦毓權","3","Wed5/E1-135 Wed9/E1-136 Fri34/TR-A203","必修","全","50","61
LN1001	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。"
"文學院","中國文學系","11023","CL0201-M","國文（B）：中文寫作","Chinese (B): Chinese writing","李欣倫","2","Thu34/A-109","必修","半","29","11023
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11024","CL0201-N","國文（B）：中文寫作","Chinese (B): Chinese writing","鍾怡彥","2","Thu34/A-104","必修","半","29","11024
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11025","CL0201-O","國文（B）：中文寫作","Chinese (B): Chinese writing","涂藍云","2","Thu34/TR-A206","必修","半","29","11025
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11026","CL0201-P","國文（B）：中文寫作","Chinese (B): Chinese writing","莊斐喬","2","Thu34/C2-201","必修","半","29","11026
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11027","CL0201-Q","國文（B）：中文寫作","Chinese (B): Chinese writing","劉毅鳴","2","Thu34/A-105","必修","半","29","11027
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11028","CL0201-R","國文（B）：中文寫作","Chinese (B): Chinese writing","許慈珍","2","Thu34/A-108","必修","半","29","11028
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
